Ngay Thang,Ngay le,Phần trăm khuyến mãi dự đoán
2023-01-01,Tet duong lich,6.926031749469059
2023-01-20,Tet Nguyen Dan,6.787061650832662
2023-01-21,Tet Nguyen Dan,6.926031749469059
2023-01-22,Tet Nguyen Dan,6.926031749469059
2023-01-23,Tet Nguyen Dan,6.787061650832662
2023-01-24,Tet Nguyen Dan,6.787061650832662
2023-03-08,Quoc te Phu nu,6.816268605287416
2023-04-18,Gio to Hung Vuong,6.926031749469059
2023-04-29,Giai phong mien Nam (nghi bu),6.926031749469059
2023-04-30,Giai phong mien Nam,6.926031749469059
2023-05-01,Quoc te Lao dong,6.84185752014359
2023-06-01,Quoc te thieu nhi,6.84185752014359
2023-09-02,Quoc khanh (nghi bu),6.980827618779986
2023-10-20,Phu nu Viet Nam,6.816268605287416
2023-11-20,Nha giao Viet Nam,6.816268605287416
2023-12-22,Ngay thanh lap Q?ND VN,6.816268605287416
2024-01-01,Tet duong lich,7.071091822358275
2024-02-08,Tet Nguyen Dan,7.079738048262529
2024-02-09,Tet Nguyen Dan,7.075414935310402
2024-02-10,Tet Nguyen Dan,7.218708146898925
2024-02-11,Tet Nguyen Dan (nghi bu),7.197092582138291
2024-02-12,Tet Nguyen Dan (nghi bu),7.079738048262529
2024-03-08,Quoc te Phu nu,6.727942668569608
2024-04-18,Gio to Hung Vuong,6.782738537880536
2024-04-30,Giai phong mien Nam,6.800030989689043
2024-05-01,Quoc te lao dong,6.80435410264117
2024-06-01,Quoc te thieu nhi,6.943324201277567
2024-09-02,Quoc khanh,6.85482685899997
2024-10-20,Phu nu Viet Nam,6.921708636516932
2024-11-20,Nha giao Viet Nam,6.732265781521735
2024-12-22,Ngay thanh lap Q?ND VN,6.7905013331344435
